buyer_name,company_name,email,phone,website,country,business_category,source_platform,validation_status,classification,discovered_date
Cloud Test Buyer,Cloud Test Company,cloud-test-unique@example.com,+1 555-0199,https://cloud-test-company.com,USA,Singing Bowls Buyer,SearXNG,Valid Format,Wholesaler,2026-09-18 00:12:58
Crystal Tones,Crystal Tones,darmk03@gmail.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:44:16
Crystal Tones,Crystal Tones,erika@crystaltones.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:38:59
Crystal Tones,Crystal Tones,463991d7bca24f02a0baf16f9e6eda73@sentry.wixpress.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:30:07
Crystal Tones,Crystal Tones,sbaldo@baldovinoswinebar.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:19:38
Tika Imports,Tika Imports,email@tikaimports.com,,https://tikaimports.com/?srsltid=AU7gw4Vkg2hkNvzkKwBfwo0O0wSBYpHXARqfYniM_L4wyZQDpeiuLJuW,California USA,Singing Bowls Importer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:19:38
Om Bronze Singing Bowl,Om Bronze Singing Bowl,aranikoh@gmail.com,,https://samathashop.com/products/om-bronze-singing-bowl?srsltid=AU7gw4WFn8t9U0wvrUQ0UnaIkdZOr97QfdNDu-_PlOpbt2JSbaIQZW9W,California USA,Singing Bowls Buyer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 23:19:38
Crystal Tones,Crystal Tones,jandobedandbreakfast@gmail.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 00:19:45
"Singing Bowl Bell Handmade, Tibetan Bowls, Copper","Singing Bowl Bell Handmade, Tibetan Bowls, Copper",support@lifechangingenergy.com,,https://www.lifechangingenergy.com/products/singing-bowl-bell-handmade-tibetan-bowls-copper?srsltid=AU7gw4Uq49Bjjf9ePN302Ii-tCSoGpyfwe_y5wUc1GlBLkYl04KoVHDA,California USA,Singing Bowl Wholesale Buyer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-17 00:19:45
Gongs Unlimited,Gongs Unlimited,info@gongs-unlimited.com,,https://gongs-unlimited.com/?srsltid=AU7gw4WcQZLeB53tFZ3xMT2h-9hL-i_rJvgde03MjDs7teElBVUtA2tn,California USA,Singing Bowls Wholesaler California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:44:21
Crystal Tones,Crystal Tones,info@theclandestinousa.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:44:21
Online Vst Singing Bowl Vibrational Sound Therapy Certification ...,Online Vst Singing Bowl Vibrational Sound Therapy Certification ...,vibrationalsound@gmail.com,,https://www.vibrationalsoundassociation.com/online-vst-singing-bowl-vibrational-sound-therapy-certification-course-september-1-30-2026/,California USA,Himalayan Singing Bowls Importer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:44:21
Crystal Tones,Crystal Tones,bargainbasecamp01@gmail.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:33:00
Crystal Singing Bowls,Crystal Singing Bowls,info@kinunifiedhealinginstitute.com,,https://kinunifiedhealing.com/collections/crystal-sound-bowls?srsltid=AU7gw4Ug-IaSmg3q9D6NJu8NpuZBHHHdMx2WCzBlwLZ7ZV3VF1tWhVsI,California USA,Singing Bowl Retailer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:32:30
Crystal Tones,Crystal Tones,9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:24:43
Singing Bowls,Singing Bowls,info@songofindia.com,,https://songofindia.com/collections/singing-bowls?srsltid=AU7gw4XKm4EX0H8lLOgbgWmNgKpzZgkhuxXB6KV7l9Fd_DfKZ--IVMMF,California USA,Himalayan Singing Bowls Wholesaler California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:24:43
Lsb,Lsb,info@himalaya-clothing.com,,https://himalaya-clothing.com/product/detail/lsb-01,California USA,Himalayan Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:24:43
Crystal Tones,Crystal Tones,kristine.barker@sci-us.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:08:27
"What Is The Difference Between Tibetan Singing Bowls, Himalayan Singing Bowls, And Crystal Sound Bowls?","What Is The Difference Between Tibetan Singing Bowls, Himalayan Singing Bowls, And Crystal Sound Bowls?",info@himalayanbzr.com,,https://www.himalayanbazaar.com/collections/singing-bowl,California USA,Himalayan Singing Bowls Buyer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-16 00:08:27
Singing Bowl Collection,Singing Bowl Collection,contactus@lovenspire.com,,https://lovenspire.com/collections/singing-bowl?srsltid=AU7gw4VzdClMoztxDkowcjau8HrcJ2s3UcGJDciTeunp5aWC8zjK8yzS,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Crystal Tones,Crystal Tones,frank.wanner@sndits.com,,https://www.mtshastachamber.com/chamber-members/crystal-tones,California USA,Singing Bowls Distributor California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Navadurga Handicrafts & Singing Bowl House,Navadurga Handicrafts & Singing Bowl House,office@downtownalameda.com,,https://downtownalameda.com/bizdirectory/navadurga/,California USA,Singing Bowls Importer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Singing Bowl With Mallet,Singing Bowl With Mallet,customercare@worldmarket.com,,https://www.worldmarket.com/p/singing-bowl-with-mallet-608336.html?srsltid=AU7gw4WRBXVilNpkn-3DrDuUz5L6CROcEUlDdem29GY_tcJe_iuTwx-J,California USA,Singing Bowls Buyer California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Crystal Bowls,Crystal Bowls,order@earthselements.com,,https://earthselementswholesale.com/collections/crystal-bowls?srsltid=AU7gw4V9Mtnuz1Hnqcz_dU0fgKY9f9KzNOryu1pNDfb78G_dqttTITu0,California USA,Singing Bowls Wholesale California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Metal Singing Bowls,Metal Singing Bowls,online@earthselements.com,,https://www.earthselements.com/collections/metal-singing-bowls?srsltid=AU7gw4UD0xpjicr90JTnP00H47kI76ZUxrSAUF8_5jLrjz8P40UldGMR,California USA,Singing Bowls Wholesaler California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
Healing Tibetan Singing Bowl,Healing Tibetan Singing Bowl,support@simprosys.com,,https://mindfulandmodern.com/products/singing-bowl?srsltid=AU7gw4Varc5gxtDqgrER_ZABc8TyKnQj-S9WFti6FThioWJaAEXdROnl,California USA,Tibetan Singing Bowls Wholesaler California Usa Buyer,SearXNG,Valid Format,Unclassified,2026-09-15 23:57:18
