email,company_name,subject,sent_date,status,notes
jubao@lingying.com,Terry Eldh - Corporate Wellness Events,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:28:14,Sent,Delivered via Gmail SMTP
info@soundtopia.com,Soundtopia,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:43:06,Sent,Delivered via Gmail SMTP
contactus@tradekey.com,"Usa Singing Bowls Importers, Buyers And Distributors",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:43:09,Sent,Delivered via Gmail SMTP
connect@trademo.com,List Of Buyers & Importers For Singing Bowl In United States,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:43:13,Sent,Delivered via Gmail SMTP
tradeoneusa@gmail.com,Singing Bowls,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:43:17,Sent,Delivered via Gmail SMTP
jubao@lingying.com,Terry Eldh - Corporate Wellness Events,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-24 14:43:17,Skipped,Already contacted previously
info@soundtopia.com,Soundtopia,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-25 13:31:08,Skipped,Already contacted previously
contactus@tradekey.com,"Usa Singing Bowls Importers, Buyers And Distributors",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-25 13:31:09,Skipped,Already contacted previously
connect@trademo.com,List Of Buyers & Importers For Singing Bowl In United States,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-25 13:31:09,Skipped,Already contacted previously
tradeoneusa@gmail.com,Singing Bowls,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-25 13:31:09,Skipped,Already contacted previously
jubao@lingying.com,Terry Eldh - Corporate Wellness Events,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-25 13:31:09,Skipped,Already contacted previously
info@soundtopia.com,Soundtopia,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:27,Skipped,Already contacted previously
contactus@tradekey.com,"Usa Singing Bowls Importers, Buyers And Distributors",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:27,Skipped,Already contacted previously
connect@trademo.com,List Of Buyers & Importers For Singing Bowl In United States,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:27,Skipped,Already contacted previously
tradeoneusa@gmail.com,Singing Bowls,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:27,Skipped,Already contacted previously
jubao@lingying.com,Terry Eldh - Corporate Wellness Events,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:27,Skipped,Already contacted previously
info@seair.co.in,Crystal Singing Bowl Import Data & Buyers List In Usa,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:31,Sent,Delivered via Gmail SMTP
sales@danaexport.com.eg,Frosted Quartz Crystal Singing Bowl Buyers & Importers,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:34,Sent,Delivered via Gmail SMTP
sales@sownseedo.com,Frosted Quartz Crystal Singing Bowl Buyers & Importers,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:38,Sent,Delivered via Gmail SMTP
eg.sample@xyz.com,"Usa Singing Bowls Importers, Buyers And Distributors",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:42,Sent,Delivered via Gmail SMTP
ashok560@yahoo.com,Frosted Quartz Crystal Singing Bowl Buyers & Importers,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-26 21:30:46,Sent,Delivered via Gmail SMTP
ashok560@yahoo.com,Frosted Quartz Crystal Singing Bowl Buyers & Importers,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-27 22:10:01,Skipped,Already contacted previously
info@bodhisattva.com,Bodhisattva Trading Company,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-27 22:13:25,Sent,Delivered via Gmail SMTP
support@tradewheel.com,United States Candle Holders Buyers And Importers List!,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 00:24:25,Sent,Delivered via Gmail SMTP
ryan@yubaiglass.com,Wholesale Glass Candle Holders Manufacturer,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 00:24:28,Sent,Delivered via Gmail SMTP
support@tradewheel.com,United States Candle Holders Buyers And Importers List!,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 00:29:34,Skipped,Already contacted previously
ryan@yubaiglass.com,Wholesale Glass Candle Holders Manufacturer,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 00:29:34,Skipped,Already contacted previously
info@alishbaimpex.com,Alishba Impex,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:03,Sent,Delivered via Gmail SMTP
evecraftoverseas.info@gmail.com,We'Re Manufacture And Wholesaler Of Home Decor Products ...,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:08,Sent,Delivered via Gmail SMTP
daniel@cregapak.com,Daniel /Cosmetic Packaging/ Home Decoration,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:12,Sent,Delivered via Gmail SMTP
sardarhussainimpex@gmail.com,Zaryat Siddiqui - Indian Manufacture | Home Decor | Bulk ...,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:16,Sent,Delivered via Gmail SMTP
a.h.handicraftsinc@gmail.com,A.H. Handicrafts Inc.,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:19,Sent,Delivered via Gmail SMTP
lovefreecandles@verizon.net,Alayna Stiffler - Sr. Team Leader/Fragrance Consultant & Direct ...,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:24,Sent,Delivered via Gmail SMTP
info@asianexportex.com,Asian Exportex,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:27,Sent,Delivered via Gmail SMTP
elsevent2012@gmail.com,Candles Holder For Rental. For Inquiry 0818293582 ...,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-28 01:03:31,Sent,Delivered via Gmail SMTP
jubao@lingying.com,"Julie Pfeiffer - Yoga, Pilates And Sound Healing Practitioner - Ymca Of The North",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:00,Skipped,Already contacted previously
info@seair.co.in,"Sungwon Distributor Llc Importer/Buyer Data In Usa, Sungwon Distributor Llc Imports Data",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:00,Skipped,Already contacted previously
export@singingbowlsspecialist.com,"Premium Singing Bowls Exporter To Usa, Best Tibetan Handcrafted Singing Bowls",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:04,Sent,Delivered with poster: company_presentation.pdf
jubao@lingying.com,"Julie Pfeiffer - Yoga, Pilates And Sound Healing Practitioner - Ymca Of The North",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:05,Skipped,Already contacted previously
info@seair.co.in,"Sungwon Distributor Llc Importer/Buyer Data In Usa, Sungwon Distributor Llc Imports Data",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:05,Skipped,Already contacted previously
export@singingbowlsspecialist.com,"Premium Singing Bowls Exporter To Usa, Best Tibetan Handcrafted Singing Bowls",Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:05,Skipped,Already contacted previously
info@nepalartshop.com,Itching Tibetan Singing Bowls For Meditation – Global Demand,Export Partnership Proposal - Premium Singing Bowls Supplier,2026-08-31 23:19:07,Sent,Delivered with poster: company_presentation.pdf
